### Top 5 hits for each virus with each method used
### Score 1 / Score 2 columns correpond respectively to:
### For blast hits => Total number of matches in hsps / Average percentage of identity across the full alignment
### For crispr hits => Number of mismatches / Length of CRISPR spacer
### For WIsH => Log-likelihood / P-value
### For VirHostMatcher => s2 similarity/ NA
### For PHP => PHP score/ NA
### For RaFAH => Confidence score / estimated FDR
### For iPHoP-RF => Confidence score / estimated FDR
Virus,Method,Host,Host taxonomy,Metric 1,Score 1,Metric 2,Score 2,Rank,Host representative
NODE_230_length_5704_cov_5.573199,wish,GCF_000302695.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__LSJC7;s__LSJC7 sp000302695,Log-likelihood,-1.361,p-value,0.00741547,2,RS_GCF_000302695.1
NODE_230_length_5704_cov_5.573199,wish,GCF_008932295.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Ochrobactrum;s__Ochrobactrum tritici,Log-likelihood,-1.362,p-value,0.0699776,3,RS_GCF_008932295.1
NODE_230_length_5704_cov_5.573199,wish,GCF_000420325.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter;s__Spongiibacter tropicus,Log-likelihood,-1.362,p-value,0.0671385,4,RS_GCF_000420325.1
NODE_230_length_5704_cov_5.573199,wish,GCF_004368705.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Ochrobactrum_A;s__Ochrobactrum_A sp004368705,Log-likelihood,-1.362,p-value,0.0286264,5,RS_GCF_004368705.1
NODE_242_length_5524_cov_2.650393,blast,GCF_003856865.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Ureibacillus;s__Ureibacillus composti_A,Match_length,1695.000,Id_pcent,93.22,1,RS_GCF_003856865.1
NODE_242_length_5524_cov_2.650393,blast,GCF_900111795.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus pushchinoensis,Match_length,1567.000,Id_pcent,95.66,2,RS_GCF_900111795.1
NODE_242_length_5524_cov_2.650393,crispr,2597489968,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus,N_mismatches,4.000,Spacer_length,30.0,1,RS_GCF_010120595.1
NODE_242_length_5524_cov_2.650393,iPHoP-RF,RS_GCF_003856865.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Ureibacillus;s__Ureibacillus composti_A,Confidence_score,0.826,FDR,0.274,1,RS_GCF_003856865.1
NODE_242_length_5524_cov_2.650393,iPHoP-RF,RS_GCF_002200015.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_AZ,Confidence_score,0.756,FDR,0.355,2,RS_GCF_002200015.1
NODE_242_length_5524_cov_2.650393,iPHoP-RF,RS_GCF_006384875.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A bombysepticus,Confidence_score,0.756,FDR,0.355,2,RS_GCF_006384875.1
NODE_242_length_5524_cov_2.650393,iPHoP-RF,RS_GCF_000007825.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus,Confidence_score,0.750,FDR,0.362,3,RS_GCF_000007825.1
NODE_242_length_5524_cov_2.650393,iPHoP-RF,RS_GCF_001595725.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A thuringiensis_K,Confidence_score,0.750,FDR,0.362,3,RS_GCF_001595725.1
NODE_242_length_5524_cov_2.650393,iPHoP-RF,RS_GCF_002584985.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A sp002584985,Confidence_score,0.750,FDR,0.362,3,RS_GCF_002584985.1
NODE_242_length_5524_cov_2.650393,vhm,GCF_900167335.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Pilibacter;s__Pilibacter termitis,S2star_similarity,0.291,NA,NA,1,RS_GCF_900167335.1
NODE_242_length_5524_cov_2.650393,vhm,GCF_001623565.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus marmotae,S2star_similarity,0.259,NA,NA,2,RS_GCF_001623565.1
NODE_242_length_5524_cov_2.650393,vhm,GCF_013623465.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp013623465,S2star_similarity,0.257,NA,NA,3,RS_GCF_013623465.1
NODE_242_length_5524_cov_2.650393,vhm,GCF_902167705.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus constellatus_A,S2star_similarity,0.255,NA,NA,4,RS_GCF_902167705.1
NODE_242_length_5524_cov_2.650393,vhm,GCF_900197595.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA945;s__UBA945 sp900197595,S2star_similarity,0.254,NA,NA,5,RS_GCF_900197595.1
NODE_242_length_5524_cov_2.650393,wish,GCF_003057615.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Metalysinibacillus;s__Metalysinibacillus jejuensis,Log-likelihood,-1.320,p-value,0.00666467,1,RS_GCF_003057615.1
NODE_242_length_5524_cov_2.650393,wish,GCF_000407145.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus caccae,Log-likelihood,-1.332,p-value,0.0528516,2,RS_GCF_000407145.1
NODE_242_length_5524_cov_2.650393,wish,GCF_000513115.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Bacillus_L;s__Bacillus_L hemicellulosilyticus,Log-likelihood,-1.335,p-value,0.0496797,3,RS_GCF_000513115.1
NODE_242_length_5524_cov_2.650393,wish,GCF_000513095.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Bacillus_L;s__Bacillus_L wakoensis,Log-likelihood,-1.335,p-value,0.0571614,4,RS_GCF_000513095.1
NODE_242_length_5524_cov_2.650393,wish,GCF_002237755.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp002237755,Log-likelihood,-1.335,p-value,0.0762395,5,RS_GCF_002237755.1
NODE_48_length_11540_cov_2.652503,blast,2897816504,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis,Match_length,11513.000,Id_pcent,99.98,1,RS_GCF_000392875.1
NODE_48_length_11540_cov_2.652503,blast,3300010279_31,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis,Match_length,11511.000,Id_pcent,99.98,1,RS_GCF_900475675.1
NODE_48_length_11540_cov_2.652503,blast,GCF_900450455.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B;s__Eubacterium_B infirmum,Match_length,11503.000,Id_pcent,99.98,1,RS_GCF_900450455.1
NODE_48_length_11540_cov_2.652503,blast,GCF_003946655.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__RHOV01;s__RHOV01 sp003946655,Match_length,11501.000,Id_pcent,99.98,1,RS_GCF_003946655.1
NODE_48_length_11540_cov_2.652503,blast,3300010283_34,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis,Match_length,11501.000,Id_pcent,99.98,1,RS_GCF_900475675.1
NODE_48_length_11540_cov_2.652503,crispr,GCF_013407595.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus sp013407595,N_mismatches,4.000,Spacer_length,33.0,1,RS_GCF_013407595.1
NODE_48_length_11540_cov_2.652503,iPHoP-RF,RS_GCF_013277415.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp013277415,Confidence_score,0.906,FDR,0.178,1,RS_GCF_013277415.1
NODE_48_length_11540_cov_2.652503,iPHoP-RF,RS_GCF_000722685.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_M,Confidence_score,0.898,FDR,0.189,2,RS_GCF_000722685.1
NODE_48_length_11540_cov_2.652503,iPHoP-RF,RS_GCF_001096185.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae_B,Confidence_score,0.886,FDR,0.205,3,RS_GCF_001096185.1
NODE_48_length_11540_cov_2.652503,iPHoP-RF,RS_GCF_002087075.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae,Confidence_score,0.886,FDR,0.205,3,RS_GCF_002087075.1
NODE_48_length_11540_cov_2.652503,iPHoP-RF,RS_GCF_001347015.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae_E,Confidence_score,0.884,FDR,0.207,4,RS_GCF_001347015.1
NODE_48_length_11540_cov_2.652503,rafah,Bacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,Confidence_score,0.466,FDR,0.218,1,NA
NODE_48_length_11540_cov_2.652503,rafah,Bacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,Confidence_score,0.466,FDR,0.218,1,NA
NODE_48_length_11540_cov_2.652503,rafah,Actinomyces,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,Confidence_score,0.121,FDR,0.887,2,NA
NODE_48_length_11540_cov_2.652503,rafah,Actinomyces,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia,Confidence_score,0.121,FDR,0.887,2,NA
NODE_48_length_11540_cov_2.652503,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.085,FDR,0.926,3,NA
NODE_48_length_11540_cov_2.652503,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.085,FDR,0.926,3,NA
NODE_48_length_11540_cov_2.652503,vhm,GCA_902772795.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-964;s__CAG-964 sp902772795,S2star_similarity,0.411,NA,NA,1,GB_GCA_902772795.1
NODE_48_length_11540_cov_2.652503,vhm,GCF_902167705.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus constellatus_A,S2star_similarity,0.409,NA,NA,2,RS_GCF_902167705.1
NODE_48_length_11540_cov_2.652503,vhm,GCF_004570575.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cuniculi_A,S2star_similarity,0.401,NA,NA,3,RS_GCF_004570575.1
NODE_48_length_11540_cov_2.652503,vhm,GCF_001921825.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus acidominimus,S2star_similarity,0.399,NA,NA,4,RS_GCF_001921825.1
NODE_48_length_11540_cov_2.652503,vhm,GCA_012511925.1,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__DUPG01;s__DUPG01 sp012511925,S2star_similarity,0.397,NA,NA,5,GB_GCA_012511925.1
NODE_48_length_11540_cov_2.652503,wish,GCF_000374325.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Allofustis;s__Allofustis seminis,Log-likelihood,-1.302,p-value,0.000462998,1,RS_GCF_000374325.1
NODE_48_length_11540_cov_2.652503,wish,GCF_000187585.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus peroris,Log-likelihood,-1.303,p-value,0.000435863,2,RS_GCF_000187585.1
NODE_48_length_11540_cov_2.652503,wish,3300007119_20,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,Log-likelihood,-1.304,p-value,2.86484e-05,3,3300007119_20
NODE_48_length_11540_cov_2.652503,wish,GCF_012277075.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus,Log-likelihood,-1.305,p-value,0.000218398,4,RS_GCF_012277075.1
NODE_48_length_11540_cov_2.652503,wish,GCF_001070815.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_P,Log-likelihood,-1.306,p-value,0.000414774,5,RS_GCF_001070815.1
NODE_60_length_10226_cov_5.480877,blast,GCF_900016235.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter cibarius,Match_length,888.000,Id_pcent,83.67,1,RS_GCF_900016235.2
NODE_60_length_10226_cov_5.480877,blast,3300013362_2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp003542795,Match_length,851.000,Id_pcent,83.9,2,GB_GCA_003542795.1
NODE_60_length_10226_cov_5.480877,crispr,3300023257_7,d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__,N_mismatches,4.000,Spacer_length,31.0,1,3300023256_3
NODE_60_length_10226_cov_5.480877,iPHoP-RF,3300011772_7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__,Confidence_score,0.984,FDR,0.056,1,3300011772_7
NODE_60_length_10226_cov_5.480877,iPHoP-RF,RS_GCF_004335015.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter pygoscelis,Confidence_score,0.940,FDR,0.127,2,RS_GCF_004335015.1
NODE_60_length_10226_cov_5.480877,iPHoP-RF,3300025062_9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__,Confidence_score,0.896,FDR,0.192,3,3300025062_9
NODE_60_length_10226_cov_5.480877,iPHoP-RF,RS_GCF_000511655.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp000511655,Confidence_score,0.896,FDR,0.192,3,RS_GCF_000511655.1
NODE_60_length_10226_cov_5.480877,iPHoP-RF,GB_GCA_000586475.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp000586475,Confidence_score,0.884,FDR,0.207,4,GB_GCA_000586475.1
NODE_60_length_10226_cov_5.480877,php,GCF_001411745.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter glacincola,Score,1394.167,NA,NA,1,RS_GCF_001411745.2
NODE_60_length_10226_cov_5.480877,php,GCF_001593285.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp001593285,Score,1394.053,NA,NA,2,RS_GCF_001593285.1
NODE_60_length_10226_cov_5.480877,php,GCF_014192115.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter luti,Score,1393.839,NA,NA,3,RS_GCF_014192115.1
NODE_60_length_10226_cov_5.480877,php,GCF_900016235.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter cibarius,Score,1393.746,NA,NA,4,RS_GCF_900016235.2
NODE_60_length_10226_cov_5.480877,php,GCF_000013905.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter cryohalolentis,Score,1393.707,NA,NA,5,RS_GCF_000013905.1
NODE_60_length_10226_cov_5.480877,rafah,Haemophilus,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,Confidence_score,0.128,FDR,0.879,1,NA
NODE_60_length_10226_cov_5.480877,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.085,FDR,0.926,2,NA
NODE_60_length_10226_cov_5.480877,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.085,FDR,0.926,2,NA
NODE_60_length_10226_cov_5.480877,rafah,Erythrobacter,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteraurantiacibacter,Confidence_score,0.067,FDR,0.944,3,NA
NODE_60_length_10226_cov_5.480877,rafah,Erythrobacter,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter,Confidence_score,0.067,FDR,0.944,3,NA
NODE_60_length_10226_cov_5.480877,rafah,Erythrobacter,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,Confidence_score,0.067,FDR,0.944,3,NA
NODE_60_length_10226_cov_5.480877,vhm,GCF_001298525.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter urativorans,S2star_similarity,0.365,NA,NA,1,RS_GCF_001298525.1
NODE_60_length_10226_cov_5.480877,vhm,GCF_014119005.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp014119005,S2star_similarity,0.350,NA,NA,2,RS_GCF_014119005.1
NODE_60_length_10226_cov_5.480877,vhm,GCF_001411745.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter glacincola,S2star_similarity,0.340,NA,NA,3,RS_GCF_001411745.2
NODE_60_length_10226_cov_5.480877,vhm,GCA_900299305.1,d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__CAIJLM01;s__CAIJLM01 sp900299305,S2star_similarity,0.337,NA,NA,4,GB_GCA_900299305.1
NODE_60_length_10226_cov_5.480877,vhm,GCF_001435295.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp001435295,S2star_similarity,0.335,NA,NA,5,RS_GCF_001435295.1
NODE_60_length_10226_cov_5.480877,wish,GCF_000013905.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter cryohalolentis,Log-likelihood,-1.365,p-value,0.0770236,1,RS_GCF_000013905.1
NODE_60_length_10226_cov_5.480877,wish,GCF_001411745.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter glacincola,Log-likelihood,-1.365,p-value,0.0737542,2,RS_GCF_001411745.2
NODE_60_length_10226_cov_5.480877,wish,GCF_000471625.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter aquaticus,Log-likelihood,-1.365,p-value,0.0688874,3,RS_GCF_000471625.1
NODE_60_length_10226_cov_5.480877,wish,GCF_003217155.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter fozii,Log-likelihood,-1.365,p-value,0.0888803,4,RS_GCF_003217155.1
NODE_60_length_10226_cov_5.480877,wish,GCF_001444505.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter piscatorii,Log-likelihood,-1.365,p-value,0.0464142,5,RS_GCF_001444505.1
